pitch,roll,label
57,-3,3
56,-2,3
55,-3,3
55,-4,3
54,-5,3
54,-6,3
53,-7,3
52,-9,3
52,-9,3
52,-10,3
53,-10,3
54,-11,3
56,-11,3
57,-11,3
59,-11,3
61,-11,3
62,-11,3
63,-10,3
64,-10,3
65,-10,3
66,-9,3
66,-9,3
66,-9,3
66,-9,3
65,-9,3
65,-10,3
63,-10,3
61,-10,3
60,-10,3
58,-10,3
57,-10,3
57,-9,3
57,-9,3
56,-8,3
56,-7,3
56,-6,3
56,-5,3
57,-4,3
57,-3,3
58,-3,3
59,-4,3
60,-5,3
60,-6,3
60,-7,3
60,-7,3
60,-10,3
60,-11,3
60,-12,3
61,-13,3
62,-12,3
62,-12,3
63,-12,3
65,-11,3
66,-11,3
67,-11,3
68,-10,3
69,-10,3
69,-9,3
69,-9,3
69,-9,3
68,-10,3
67,-10,3
65,-10,3
64,-11,3
62,-11,3
60,-11,3
58,-11,3
57,-12,3
55,-11,3
54,-11,3
53,-10,3
52,-8,3
52,-8,3
52,-7,3
53,-6,3
54,-6,3
56,-6,3
58,-7,3
60,-9,3
62,-10,3
62,-11,3
62,-12,3
62,-12,3
63,-13,3
64,-15,3
65,-16,3
66,-17,3
68,-17,3
69,-17,3
70,-16,3
71,-16,3
73,-16,3
73,-15,3
74,-14,3
74,-14,3
73,-13,3
72,-12,3
70,-11,3
68,-11,3
66,-11,3
63,-10,3
62,-9,3
59,-9,3
57,-9,3
56,-11,3
55,-12,3
54,-14,3
54,-15,3
54,-15,3
56,-15,3
58,-16,3
59,-16,3
61,-17,3
62,-16,3
64,-16,3
66,-15,3
67,-14,3
69,-13,3
70,-13,3
71,-13,3
72,-13,3
72,-13,3
72,-12,3
72,-12,3
72,-11,3
72,-10,3
72,-10,3
72,-9,3
71,-7,3
71,-6,3
71,-4,3
71,-3,3
70,-2,3
69,-1,3
68,-1,3
67,-1,3
65,-1,3
63,-3,3
61,-5,3
60,-7,3
58,-8,3
58,-10,3
57,-10,3
58,-11,3
59,-11,3
61,-11,3
62,-12,3
63,-11,3
65,-11,3
67,-10,3
69,-10,3
71,-10,3
73,-11,3
74,-11,3
76,-10,3
76,-10,3
77,-10,3
77,-9,3
77,-9,3
76,-8,3
74,-7,3
72,-6,3
70,-5,3
67,-4,3
66,-3,3
63,-2,3
61,-1,3
60,0,3
58,-1,3
58,-2,3
58,-5,3
58,-7,3
58,-9,3
59,-10,3
60,-11,3
62,-11,3
64,-11,3
65,-12,3
67,-12,3
69,-12,3
71,-11,3
72,-11,3
74,-11,3
75,-12,3
76,-12,3
78,-11,3
79,-11,3
80,-10,3
80,-9,3
80,-7,3
80,-5,3
79,-4,3
78,-2,3
76,0,3
74,0,3
72,1,3
70,3,3
68,4,3
66,4,3
65,4,3
64,2,3
63,1,3
63,0,3
62,-1,3
62,-2,3
62,-2,3
63,-2,3
65,-3,3
67,-3,3
69,-4,3
71,-4,3
72,-5,3
74,-5,3
75,-4,3
77,-4,3
79,-4,3
80,-4,3
81,-3,3
82,-2,3
83,-1,3
83,0,3
82,0,3
81,0,3
79,1,3
76,2,3
74,2,3
71,2,3
68,3,3
66,4,3
64,4,3
63,3,3
62,3,3
61,2,3
60,1,3
59,0,3
58,-1,3
57,-2,3
57,-2,3
57,-2,3
57,-3,3
57,-3,3
57,-4,3
57,-4,3
57,-3,3
58,-3,3
59,-3,3
60,-3,3
62,-3,3
64,-4,3
65,-5,3
66,-5,3
67,-6,3
67,-6,3
67,-7,3
66,-7,3
65,-8,3
63,-10,3
63,-11,3
62,-12,3
62,-13,3
62,-14,3
62,-14,3
62,-13,3
62,-13,3
-22,6,4
-22,5,4
-23,5,4
-24,5,4
-25,5,4
-25,5,4
-26,4,4
-27,4,4
-27,4,4
-27,5,4
-27,5,4
-27,6,4
-26,7,4
-26,7,4
-26,8,4
-25,8,4
-24,9,4
-23,9,4
-22,10,4
-21,9,4
-19,9,4
-18,8,4
-17,7,4
-17,7,4
-17,6,4
-16,5,4
-16,4,4
-17,3,4
-17,3,4
-18,3,4
-19,3,4
-19,4,4
-19,5,4
-19,6,4
-19,7,4
-19,9,4
-18,10,4
-18,11,4
-18,12,4
-17,13,4
-17,13,4
-16,13,4
-16,13,4
-15,12,4
-15,12,4
-15,11,4
-16,10,4
-16,9,4
-18,8,4
-19,6,4
-21,5,4
-23,4,4
-24,3,4
-24,2,4
-24,3,4
-23,4,4
-23,4,4
